Title,URL,Summary
The simple test to check how old your lungs areThe condition of our lungs can reveal a great deal about our wider health. Luckily you can also get them into better shape.See more,https://www.bbc.com/future/article/20250908-the-simple-test-to-check-how-old-your-lungs-are,Emerging evidence suggests the bacteria living in your gut and mouth influence how you sleep at night. Scientists want to use them to help you rest better.
The microbes that control your sleepEmerging evidence suggests the bacteria living in your gut and mouth influence how you sleep at night. Scientists want to use them to help you rest better.4 days agoFuture,https://www.bbc.com/future/article/20250905-how-your-microbiome-affects-your-sleep,Emerging evidence suggests the bacteria living in your gut and mouth influence how you sleep at night. Scientists want to use them to help you rest better.
"The surprising origins of the anti-vax movementVaccine scepticism may seem like a new, growing movement. It’s probably a lot older than you think.5 days agoFuture",https://www.bbc.com/future/article/20250905-the-strange-history-of-the-anti-vaccine-movement,"Vaccine scepticism may seem like a new, growing movement. It’s probably a lot older than you think."
"The bomber that became WW2's most expensive weaponThe Boeing B-29 was the most advanced bomber of World War Two, and more expensive to design and build than the atomic bombs it dropped.31 Aug 2025Future",https://www.bbc.com/future/article/20250829-the-bomber-that-became-ww2s-most-expensive-weapon,"The Boeing B-29 was the most advanced bomber of World War Two, and more expensive to design and build than the atomic bombs it dropped."
"The biggest myths about sun protectionFrom when exactly to use sunscreen to whether beach umbrellas really work, this is what scientific research tells us about staying safe in the sun.30 Aug 2025Future",https://www.bbc.com/future/article/20250829-the-real-science-behind-sun-protection,"From when exactly to use sunscreen to whether beach umbrellas really work, this is what scientific research tells us about staying safe in the sun."
"The simple infection that can rewire children's brainsStrep throat is a common childhood illness, but in a few children this bacteria infection can lead to alarming, lasting changes in behaviour.29 Aug 2025Future",https://www.bbc.com/future/article/20250828-strep-throat-how-a-common-infection-can-rewire-childrens-brains,"Strep throat is a common childhood illness, but in a few children this bacteria infection can lead to alarming, lasting changes in behaviour."
"The surprising origins of the anti-vax movementVaccine scepticism may seem like a new, growing movement. It’s probably a lot older than you think.5 days agoFuture",https://www.bbc.com/future/article/20250905-the-strange-history-of-the-anti-vaccine-movement,"Vaccine scepticism may seem like a new, growing movement. It’s probably a lot older than you think."
The astronauts who broke Nasa's glass ceilingIn 1978 Nasa announced 35 new astronauts for a new era of spaceflight – and six of them were women. Here's how the Space Shuttle programme chipped away at one of Nasa's blind spots.6 days agoFuture,https://www.bbc.com/future/article/20250905-the-women-who-broke-nasas-glass-ceiling,In 1978 Nasa announced 35 new astronauts for a new era of spaceflight – and six of them were women. Here's how the Space Shuttle programme chipped away at one of Nasa's blind spots.
Why some cultures welcome 'hearing voices'Western medicine views hearing disembodied voices as a symptom of psychosis. But that's not the case everywhere.3 Sep 2025Future,https://www.bbc.com/future/article/20250902-the-places-where-hearing-voices-is-seen-as-a-good-thing,Western medicine views hearing disembodied voices as a symptom of psychosis. But that's not the case everywhere.
The truth about salt in your dietSome scientists argue that a low-salt diet is just as dangerous as high salt consumption. What's the reality?1 Sep 2025Future,https://www.bbc.com/future/article/20181029-eating-less-salt-benefits,Some scientists argue that a low-salt diet is just as dangerous as high salt consumption. What's the reality?
"The bomber that became WW2's most expensive weaponThe Boeing B-29 was the most advanced bomber of World War Two, and more expensive to design and build than the atomic bombs it dropped.31 Aug 2025Future",https://www.bbc.com/future/article/20250829-the-bomber-that-became-ww2s-most-expensive-weapon,"The Boeing B-29 was the most advanced bomber of World War Two, and more expensive to design and build than the atomic bombs it dropped."
"Why the US is going back to the moon after 50 yearsKatty Kay interviews Eileen Collins on Artemis, diversity in space, and how lunar missions prepare us for Mars.5 days agoScience & Health",https://www.bbc.com/reel/video/p0m14x44/why-the-us-is-going-back-to-the-moon-after-50-years,"Katty Kay interviews Eileen Collins on Artemis, diversity in space, and how lunar missions prepare us for Mars."
The aquatic drone cleaning up waterwaysTech Now visits a startup in the Netherlands tackling marine pollution with an autonomous robot that gobbles up waste.7 days agoTech Now,https://www.bbc.com/reel/video/p0lwj22t/meet-wasteshark-the-aquatic-drone-cleaning-up-waterways,Tech Now visits a startup in the Netherlands tackling marine pollution with an autonomous robot that gobbles up waste.
How tech is helping the world’s most endangered speciesTech Now gets up close to black rhinos at a new conservation centre in the UK.29 Aug 2025Tech Now,https://www.bbc.com/reel/video/p0ls3t1f/how-tech-is-helping-the-world-s-most-endangered-species,Tech Now gets up close to black rhinos at a new conservation centre in the UK.
Is this how AI might eliminate humanity?A new research paper predicts AI autonomy by 2027 could lead to human extinction within a decade.22 Aug 2025Tech Now,https://www.bbc.com/reel/video/p0lwdg8y/is-this-how-ai-might-eliminate-humanity-,A new research paper predicts AI autonomy by 2027 could lead to human extinction within a decade.
"The best-case scenario for AI in schoolsAmid fears about the use of AI in classrooms, American educator and founder of Khan Academy Sal Khan lays out an optimistic future.20 Aug 2025Artificial Intelligence",https://www.bbc.com/reel/video/p0ljv0fy/the-best-case-scenario-for-ai-in-schools,"Amid fears about the use of AI in classrooms, American educator and founder of Khan Academy Sal Khan lays out an optimistic future."
Next generation of cancer drugs could be made in spaceTech Now visits a UK startup aiming to build a pharma factory in space to revolutionise cancer treatment.15 Aug 2025Tech Now,https://www.bbc.com/reel/video/p0ltyw38/next-generation-of-cancer-drugs-could-be-made-in-space,Tech Now visits a UK startup aiming to build a pharma factory in space to revolutionise cancer treatment.
